Meetnet;Locatie
Honingorchis;Duinhoek (d0-16-22)
Duingentiaan;Karthuizerduinen (c0-48-24)
Duingentiaan;Ter Yde (c0-48-41)
Honingorchis;Ter Yde/Karthuizerduinen (c0-48-24)
Honingorchis;Ter Yde1 (c0-48-23)
Honingorchis;Ter Yde2 (c0-48-41)
Honingorchis;Ter Yde3 (c0-48-42)
Duingentiaan;Westhoek1 (c0-56-31)
Honingorchis;Westhoek1 (c0-56-32)
Duingentiaan;Westhoek2 (c0-56-32)
Honingorchis;Westhoek2 (c0-56-33)
Duingentiaan;Westhoek3 (c0-56-33)
Honingorchis;Westhoek3 (c0-56-34)
Duingentiaan;Westhoek4 (c0-56-34)
Honingorchis;Westhoek4 (d0-16-12)
Duingentiaan;Westhoek5 (c0-56-41)
Duingentiaan;Westhoek6 (d0-16-22)
Duingentiaan;Zwarte Hoek (d0-16-12)
